player,avg_points,lower_bound,median,upper_bound,nr_games,c,win_rate
ConfigurationMCTS[uct_c=-1],0.2426,0.6086,0.6212,0.6342,5000,,0.6213
"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",-0.2426,0.3657,0.3786,0.3916,5000,0.25,0.3787
